date,JNJ,HD,INTC,AMD,MU,NVDA,TSM
2019-05-14,66.97,191.62,45.17,27.32,38.51,162.04,41.97
2019-05-13,66.49,190.34,44.76,26.24,37.38,158.45,40.99
2019-05-10,67.22,194.58,46.2,27.96,38.94,168.82,42.83
2019-05-09,66.04,194.58,46.62,27.21,39.27,170.19,43.25
2019-05-08,66.02,195.17,49.24,27.09,39.75,173.92,43.7
2019-05-07,66.33,194.77,50.48,26.66,40.26,173.11,43.76
2019-05-06,66.22,199.63,51.22,27.42,42.13,179.85,43.76
2019-05-03,66.89,200.56,51.75,28.22,43.33,183.01,44.71
2019-05-02,66.85,201.01,50.55,28.29,42.56,183.19,44.4
2019-05-01,67.58,198.8,50.76,26.81,41.9,180.47,43.82
2019-04-30,67.93,203.7,51.04,27.63,42.06,181.0,43.82
2019-04-29,68.62,202.16,51.11,27.69,42.11,179.33,43.83
2019-04-26,68.73,203.61,52.43,27.88,42.1,178.09,43.94
2019-04-25,69.76,206.5,57.61,27.66,42.75,186.91,44.48
2019-04-24,70.03,206.72,58.72,28.46,43.03,191.17,45.41
2019-04-23,69.87,206.05,58.78,27.97,42.77,190.67,45.42
2019-04-22,69.93,204.78,58.82,28.18,43.4,188.47,45.15
2019-04-18,69.14,205.66,58.49,27.68,43.4,186.3,45.4
2019-04-17,69.73,206.55,58.56,27.49,43.15,187.29,44.39
2019-04-16,70.24,204.47,56.71,27.93,42.76,188.21,43.01
2019-04-15,70.09,204.86,56.28,27.33,41.82,184.7,42.61
2019-04-12,70.6,203.85,56.42,27.85,42.01,190.01,42.58
2019-04-11,70.04,201.48,55.8,27.79,42.28,191.54,42.1
2019-04-10,69.81,199.43,55.75,27.83,42.17,192.1,42.37
2019-04-09,69.87,200.9,55.32,27.24,41.72,189.26,42.21
2019-04-08,70.52,203.55,55.68,28.53,42.9,191.79,42.39
2019-04-05,70.54,202.06,55.6,28.98,43.32,190.95,42.23
2019-04-04,69.48,200.45,55.92,29.09,42.89,188.26,42.04
2019-04-03,69.32,198.61,55.48,29.02,43.9,188.62,41.79
2019-04-02,70.21,194.31,54.36,26.75,42.44,183.0,41.27
2019-04-01,70.35,195.64,54.51,26.36,42.25,182.28,41.37
2019-03-29,69.84,191.89,53.7,25.52,41.33,179.56,40.96
2019-03-28,69.38,190.06,53.11,25.06,39.34,177.25,40.34
2019-03-27,68.84,189.25,53.16,24.89,39.23,176.5,40.2
